design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,93.0,11529.0,818.0,10881.0,0,0,0,0,employee,0,0,0,0,0,0
True,53.0,1459.0,980.0,13340.0,0,0,0,0,employee,0,0,0,0,0,0
True,2.0,148.0,128.0,2276.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,88.0,100.0,2120.0,0,0,0,0,employee,0,0,0,0,0,0
False,5.0,53.0,111.0,916.0,0,0,0,0,employee,0,0,0,0,0,0
True,75.0,871.0,1248.0,16913.0,0,0,0,0,employee,0,0,0,0,0,0
True,19.0,635.0,172.0,3222.0,1,0,0,1,employee,1,116,116.0,878,0.0,0
True,92.0,2383.0,973.0,12827.0,0,0,0,0,employee,0,0,0,0,0,0
True,4.0,181.0,119.0,929.0,0,0,0,0,employee,0,0,0,0,0,7
True,5.0,145.0,238.0,4880.0,3,0,0,1,employee,0,37,12.333333333333334,0,2.3333333333333335,7
False,2.0,18.0,47.0,497.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,8.0,111.0,2329.0,0,0,0,0,employee,0,0,0,0,0,0
True,6.0,402.0,252.0,5019.0,0,0,0,0,employee,0,0,0,0,0,1
True,2.0,61.0,115.0,2391.0,0,0,0,0,employee,0,0,0,0,0,0
True,77.0,1988.0,2034.0,27690.0,0,0,0,0,employee,0,0,0,0,0,0
False,4.0,1170.0,146.0,2591.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,18.0,81.0,650.0,0,0,0,0,employee,0,0,0,0,0,0
True,7.0,242.0,176.0,2988.0,11,0,2,1,employee,4,390,35.45454545454545,487,0.45454545454545453,7
False,5.0,17.0,275.0,4029.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,2.0,261.0,2.0,32.0,1,0,0,1,employee,0,27,27.0,0,0.0,0
False,5.0,437.0,246.0,3739.0,0,0,0,0,employee,0,0,0,0,0,0
True,2.0,122.0,132.0,2472.0,1,0,0,1,employee,0,13,13.0,0,0.0,0
False,1.0,57.0,123.0,2407.0,2,0,0,1,employee,0,9,4.5,0,0.0,0
True,6.0,211.0,148.0,2711.0,1,0,0,1,employee,0,9,9.0,0,0.0,0
True,5.0,249.0,203.0,3246.0,0,0,0,0,employee,0,0,0,0,0,0
False,1.0,39.0,12.0,144.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
False,1.0,37.0,126.0,2458.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
True,10.0,457.0,389.0,6390.0,1,0,0,1,employee,0,19,19.0,0,0.0,0
False,4.0,474.0,290.0,5335.0,4,1,0,1,employee,2,156,39.0,941,0.0,0
False,1.0,28.0,52.0,553.0,1,0,0,1,employee,0,6,6.0,0,0.0,0
True,10.0,795.0,562.0,9406.0,13,1,2,1,employee,2,332,25.53846153846154,904,0.7692307692307693,20
True,3.0,175.0,152.0,2784.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
True,3.0,279.0,255.0,3770.0,1,0,0,1,employee,0,7,7.0,0,0.0,0
False,1.0,136.0,162.0,2889.0,1,0,0,1,employee,0,13,13.0,0,0.0,0
True,3.0,279.0,255.0,3770.0,0,0,0,0,employee,0,0,0,0,0,0
True,3.0,294.0,248.0,3697.0,3,1,1,1,employee,0,52,17.333333333333332,0,0.0,0
False,1.0,17.0,15.0,122.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,5.0,443.0,285.0,4076.0,2,1,1,0,employee,0,12,6.0,0,0.0,0
True,3.0,197.0,216.0,3449.0,3,1,0,1,employee,0,37,12.333333333333334,0,2.3333333333333335,7
True,3.0,247.0,210.0,3365.0,5,1,0,1,employee,0,124,24.8,0,1.2,7
False,1.0,35.0,190.0,3180.0,2,1,0,1,employee,0,22,11.0,0,3.5,7
True,2.0,150.0,192.0,3252.0,1,0,0,1,employee,0,4,4.0,0,0.0,6
True,5.0,234.0,204.0,3380.0,9,1,2,1,employee,0,128,14.222222222222221,0,0.1111111111111111,2
True,9.0,1173.0,640.0,7951.0,9,1,1,1,employee,0,145,16.11111111111111,0,0.0,0
True,5.0,234.0,204.0,3380.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,228.0,387.0,6470.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,15.0,1461.0,855.0,11436.0,3,1,0,1,employee,0,54,18.0,0,0.0,0
True,19.0,684.0,419.0,6244.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,11.0,177.0,398.0,6037.0,2,1,0,1,employee,0,17,8.5,0,0.0,0
True,3.0,197.0,216.0,3449.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,6.0,203.0,3422.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,1.0,10.0,4.0,59.0,0,0,0,0,employee,0,0,0,0,0,0
False,2.0,73.0,411.0,6900.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,17.0,208.0,3484.0,6,1,1,1,employee,2,78,13.0,133,0.0,0
True,2.0,92.0,212.0,3577.0,2,1,0,1,employee,0,10,5.0,0,0.5,1
True,8.0,294.0,463.0,7526.0,18,1,2,1,employee,2,273,15.166666666666666,355,0.5,17
False,3.0,36.0,23.0,329.0,4,1,0,1,employee,0,45,11.25,0,2.0,8
True,54.0,1263.0,615.0,9559.0,10,1,1,1,employee,1,193,19.3,69,1.5,16
False,3.0,108.0,55.0,645.0,16,1,1,1,employee,19,1201,75.0625,6039,0.5625,13
True,2.0,189.0,224.0,3705.0,2,1,0,1,employee,0,11,5.5,0,2.5,5
True,2.0,547.0,39.0,518.0,12,1,2,1,employee,16,3412,284.3333333333333,33743,0.75,26
False,2.0,25.0,7.0,121.0,2,1,0,1,employee,0,18,9.0,0,1.0,2
False,5.0,293.0,58.0,858.0,4,1,0,1,employee,0,76,19.0,0,0.5,2
False,3.0,19.0,149.0,1539.0,4,2,1,0,employee,0,39,9.75,0,68.75,0
True,7.0,824.0,301.0,4661.0,15,1,1,1,employee,2,643,42.86666666666667,521,0.0,2
True,53.0,2004.0,880.0,13720.0,2,1,0,1,employee,0,17,8.5,0,0.0,0
True,9.0,954.0,347.0,5204.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,13.0,1038.0,138.0,1857.0,7,1,1,1,employee,0,88,12.571428571428571,0,2.2857142857142856,18
False,1.0,39.0,23.0,351.0,2,1,0,1,employee,0,10,5.0,0,0.0,0
True,7.0,507.0,304.0,4836.0,3,1,0,1,employee,0,35,11.666666666666666,0,0.0,0
True,8.0,294.0,463.0,7526.0,2,1,0,1,temporary,0,12,6.0,0,0.5,0
True,3.0,763.0,84.0,1138.0,3,1,0,1,employee,0,28,9.333333333333334,0,5.0,14
True,4.0,231.0,257.0,4219.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,93.0,2515.0,1282.0,20671.0,11,1,1,1,employee,3,373,33.90909090909091,2998,0.0,0
True,8.0,272.0,25.0,320.0,17,1,2,2,employee,5,455,26.764705882352942,978,10.647058823529411,9
False,3.0,103.0,42.0,535.0,6,1,1,1,employee,3,364,60.666666666666664,3209,1.3333333333333333,9
True,1.0,41.0,10.0,98.0,3,1,1,1,employee,0,56,18.666666666666668,0,2.0,6
True,14.0,697.0,303.0,4972.0,3,1,1,0,employee,0,26,8.666666666666666,0,8.0,6
False,4.0,20.0,278.0,4602.0,1,1,0,0,employee,0,8,8.0,0,0.0,2
False,5.0,182.0,21.0,280.0,8,1,1,1,employee,0,174,21.75,0,0.625,2
False,25.0,1086.0,208.0,3418.0,5,1,1,1,employee,0,72,14.4,0,0.0,1
True,1.0,10.0,5.0,54.0,2,1,0,0,employee,0,16,8.0,0,0.5,1
False,7.0,340.0,61.0,924.0,2,1,0,1,employee,0,21,10.5,0,0.5,0
False,4.0,141.0,25.0,393.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
False,1.0,79.0,12.0,102.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,13.0,1038.0,138.0,1857.0,2,1,0,1,employee,0,18,9.0,0,0.0,0
False,5.0,81.0,299.0,4959.0,6,1,2,1,employee,0,49,8.166666666666666,0,0.0,0
True,5.0,153.0,96.0,1170.0,3,1,0,1,employee,0,24,8.0,0,0.0,7
True,17.0,488.0,99.0,1717.0,2,1,0,1,employee,0,31,15.5,0,2.0,4
False,1.0,133.0,245.0,4127.0,1,1,0,0,employee,0,8,8.0,0,0.0,4
True,6.0,372.0,270.0,4754.0,4,1,1,1,employee,0,25,6.25,0,0.75,4
True,7.0,171.0,504.0,8364.0,6,1,1,1,employee,0,69,11.5,0,0.3333333333333333,3
True,1.0,253.0,17.0,254.0,2,1,0,1,employee,0,35,17.5,0,1.0,2
True,2.0,218.0,253.0,4213.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,2.0,6.0,96.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
True,9.0,349.0,17.0,346.0,11,1,2,1,employee,0,224,20.363636363636363,0,0.0,4
False,28.0,157.0,630.0,9212.0,2,1,0,1,employee,0,15,7.5,0,2.0,4
True,2.0,274.0,17.0,265.0,3,1,0,1,employee,0,39,13.0,0,0.6666666666666666,3
True,8.0,577.0,536.0,8843.0,11,1,1,1,employee,0,184,16.727272727272727,0,0.09090909090909091,3
True,8.0,482.0,289.0,4678.0,24,2,3,1,employee,2,1145,47.708333333333336,429,3.0416666666666665,129
True,6.0,562.0,284.0,5039.0,10,1,1,1,employee,1,208,20.8,450,0.9,10
True,16.0,657.0,37.0,987.0,11,1,1,1,employee,0,222,20.181818181818183,0,0.0,0
True,7.0,443.0,274.0,4516.0,6,1,1,1,employee,0,377,62.833333333333336,0,11.333333333333334,0
True,5.0,293.0,71.0,1123.0,0,0,0,0,employee,0,0,0,0,0,0
False,8.0,197.0,25.0,647.0,5,1,1,0,employee,0,38,7.6,0,0.0,0
True,9.0,239.0,857.0,12931.0,13,2,1,1,employee,0,296,22.76923076923077,0,3.923076923076923,57
False,2.0,82.0,15.0,196.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,69.0,11.0,96.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,1.0,167.0,53.0,629.0,3,1,1,1,employee,0,46,15.333333333333334,0,0.3333333333333333,1
True,52.0,1751.0,1275.0,17891.0,5,1,0,1,employee,0,52,10.4,0,0.0,1
False,4.0,302.0,55.0,694.0,2,1,0,1,employee,0,18,9.0,0,0.0,0
True,5.0,212.0,155.0,1875.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,3.0,294.0,312.0,5050.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,94.0,206.0,3723.0,2,1,0,1,employee,0,12,6.0,0,0.0,0
False,2.0,52.0,73.0,972.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,13.0,1735.0,604.0,10307.0,13,3,1,1,employee,0,173,13.307692307692308,0,3.0,53
True,4.0,576.0,281.0,5294.0,5,1,0,1,employee,0,46,9.2,0,0.4,3
False,2.0,155.0,206.0,3820.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,6.0,256.0,507.0,8623.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,2.0,255.0,29.0,544.0,2,1,0,0,employee,0,17,8.5,0,0.0,0
True,4.0,148.0,508.0,9352.0,4,1,1,1,employee,0,56,14.0,0,5.5,29
