project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
RxJava,6cb679069c44aecbbaa3c9a4ce4f4df58a0e8fac87cfa7a445f7659ef46d1a6a4eb38daa46f5c97a,1,6cb679069c44aecbbaa3c9a4ce4f4df58a0e8fac,87cfa7a445f7659ef46d1a6a4eb38daa46f5c97a,94.0,94.0,414.0,414.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,85211da0e2f287979e8e44bceeddc2bb0dd1fad76cb679069c44aecbbaa3c9a4ce4f4df58a0e8fac,1,85211da0e2f287979e8e44bceeddc2bb0dd1fad7,6cb679069c44aecbbaa3c9a4ce4f4df58a0e8fac,94.0,94.0,414.0,414.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,2a4122c11b95eaa3213c2c3e54a93d28b9231eec85211da0e2f287979e8e44bceeddc2bb0dd1fad7,1,2a4122c11b95eaa3213c2c3e54a93d28b9231eec,85211da0e2f287979e8e44bceeddc2bb0dd1fad7,94.0,91.0,414.0,414.0,4.0,3.0,6,6,-3.0,0.0,-1.0,0,positive,invariant,positive,invariant
RxJava,9d48f996e4ee55e89dc3c60d9dd7a8d6443161402a4122c11b95eaa3213c2c3e54a93d28b9231eec,1,9d48f996e4ee55e89dc3c60d9dd7a8d644316140,2a4122c11b95eaa3213c2c3e54a93d28b9231eec,91.0,92.0,414.0,416.0,3.0,4.0,6,6,1.0,2.0,1.0,0,negative,negative,negative,invariant
RxJava,c3500f8f7fadd16a2ea93955b3101ed0291c1382d297befc1fa5516148a8324a2ce47b7ce2fcbc09,2,c3500f8f7fadd16a2ea93955b3101ed0291c1382,d297befc1fa5516148a8324a2ce47b7ce2fcbc09,92.0,97.0,416.0,421.0,4.0,4.0,6,6,5.0,5.0,0.0,0,negative,negative,invariant,invariant
RxJava,f57a242b17f1214142dea97c0cb9049b106378a0c3500f8f7fadd16a2ea93955b3101ed0291c1382,2,f57a242b17f1214142dea97c0cb9049b106378a0,c3500f8f7fadd16a2ea93955b3101ed0291c1382,97.0,94.0,421.0,321.0,4.0,4.0,6,6,-3.0,-100.0,0.0,0,positive,positive,invariant,invariant
RxJava,e476d7d9645b85e93d44ab8bdb9b462efe660034f57a242b17f1214142dea97c0cb9049b106378a0,2,e476d7d9645b85e93d44ab8bdb9b462efe660034,f57a242b17f1214142dea97c0cb9049b106378a0,94.0,100.0,321.0,421.0,4.0,4.0,6,6,6.0,100.0,0.0,0,negative,negative,invariant,invariant
RxJava,6587a37ebf4da29fcb2af454d220db7cf5920878e476d7d9645b85e93d44ab8bdb9b462efe660034,2,6587a37ebf4da29fcb2af454d220db7cf5920878,e476d7d9645b85e93d44ab8bdb9b462efe660034,100.0,106.0,421.0,471.0,4.0,4.0,6,6,6.0,50.0,0.0,0,negative,negative,invariant,invariant
RxJava,456af8533e2f0b986d6fdd7c5c962a2023eb69436587a37ebf4da29fcb2af454d220db7cf5920878,2,456af8533e2f0b986d6fdd7c5c962a2023eb6943,6587a37ebf4da29fcb2af454d220db7cf5920878,106.0,106.0,471.0,471.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,ef6dd02a4fdab48f1126739bb75750add56af7c4456af8533e2f0b986d6fdd7c5c962a2023eb6943,2,ef6dd02a4fdab48f1126739bb75750add56af7c4,456af8533e2f0b986d6fdd7c5c962a2023eb6943,106.0,106.0,471.0,471.0,4.0,4.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
