project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
netty,0062cb743c75e1733d0ade692bfafcfd5f66b1a845a7692f0749eb623796b90241fa0133fc54287a,17,0062cb743c75e1733d0ade692bfafcfd5f66b1a8,45a7692f0749eb623796b90241fa0133fc54287a,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,65fc361eeceb195e126559e1eee6bc58dea67e0e0062cb743c75e1733d0ade692bfafcfd5f66b1a8,17,65fc361eeceb195e126559e1eee6bc58dea67e0e,0062cb743c75e1733d0ade692bfafcfd5f66b1a8,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,ccc155e96fe498a62e302609d0bd65aa3abecb0465fc361eeceb195e126559e1eee6bc58dea67e0e,17,ccc155e96fe498a62e302609d0bd65aa3abecb04,65fc361eeceb195e126559e1eee6bc58dea67e0e,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,8982838ab2a1341f9a8c5b0e7a39d3ee15b6dfd3ccc155e96fe498a62e302609d0bd65aa3abecb04,17,8982838ab2a1341f9a8c5b0e7a39d3ee15b6dfd3,ccc155e96fe498a62e302609d0bd65aa3abecb04,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,2acd74db83df1bf54832b749ed92b13866caa7a38982838ab2a1341f9a8c5b0e7a39d3ee15b6dfd3,17,2acd74db83df1bf54832b749ed92b13866caa7a3,8982838ab2a1341f9a8c5b0e7a39d3ee15b6dfd3,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,e2655f3c3834af8c68fc470987a5cabc6eb03ae02acd74db83df1bf54832b749ed92b13866caa7a3,17,e2655f3c3834af8c68fc470987a5cabc6eb03ae0,2acd74db83df1bf54832b749ed92b13866caa7a3,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,b9ef785b5be33306028aa34be07c4847031f2ce1e2655f3c3834af8c68fc470987a5cabc6eb03ae0,17,b9ef785b5be33306028aa34be07c4847031f2ce1,e2655f3c3834af8c68fc470987a5cabc6eb03ae0,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,4bf26c31e97790d89d312edfdd9022bf07c952beb9ef785b5be33306028aa34be07c4847031f2ce1,17,4bf26c31e97790d89d312edfdd9022bf07c952be,b9ef785b5be33306028aa34be07c4847031f2ce1,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,dfd7b0d6c3ecfcf7a44463899383d7390b905d0e4bf26c31e97790d89d312edfdd9022bf07c952be,17,dfd7b0d6c3ecfcf7a44463899383d7390b905d0e,4bf26c31e97790d89d312edfdd9022bf07c952be,690,690,3030,3030,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,acb1ac84e6e737ac934dcc148f247dc02ffcc796dfd7b0d6c3ecfcf7a44463899383d7390b905d0e,17,acb1ac84e6e737ac934dcc148f247dc02ffcc796,dfd7b0d6c3ecfcf7a44463899383d7390b905d0e,690,690,3030,3037,10.0,10.0,9,9,0,7,0.0,0,invariant,negative,invariant,invariant
netty,95f3af0a02c664f4a73c7ba4f1a32c11aecd28f0acb1ac84e6e737ac934dcc148f247dc02ffcc796,17,95f3af0a02c664f4a73c7ba4f1a32c11aecd28f0,acb1ac84e6e737ac934dcc148f247dc02ffcc796,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,5579a91e1d83d6a9f43b11978e6af6fad26395d395f3af0a02c664f4a73c7ba4f1a32c11aecd28f0,17,5579a91e1d83d6a9f43b11978e6af6fad26395d3,95f3af0a02c664f4a73c7ba4f1a32c11aecd28f0,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,46c9a5f094725b49e36dc1a39d5a756ece1067225579a91e1d83d6a9f43b11978e6af6fad26395d3,17,46c9a5f094725b49e36dc1a39d5a756ece106722,5579a91e1d83d6a9f43b11978e6af6fad26395d3,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,e85996ea466f635391c7d4e72f829bd1644ef09346c9a5f094725b49e36dc1a39d5a756ece106722,17,e85996ea466f635391c7d4e72f829bd1644ef093,46c9a5f094725b49e36dc1a39d5a756ece106722,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,c6fa82729c0d956a3df8971f37bf6a369b355aeee85996ea466f635391c7d4e72f829bd1644ef093,17,c6fa82729c0d956a3df8971f37bf6a369b355aee,e85996ea466f635391c7d4e72f829bd1644ef093,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,6f7d2f4e236a082c32a4610f99892d8b04e0ef10c6fa82729c0d956a3df8971f37bf6a369b355aee,17,6f7d2f4e236a082c32a4610f99892d8b04e0ef10,c6fa82729c0d956a3df8971f37bf6a369b355aee,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,bdeed00bbb52b9f733d289cfe0ef2ed45ff2d99e6f7d2f4e236a082c32a4610f99892d8b04e0ef10,17,bdeed00bbb52b9f733d289cfe0ef2ed45ff2d99e,6f7d2f4e236a082c32a4610f99892d8b04e0ef10,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,5c62d54c677a94e0e8a1e48ab4aab04eaa775d09bdeed00bbb52b9f733d289cfe0ef2ed45ff2d99e,17,5c62d54c677a94e0e8a1e48ab4aab04eaa775d09,bdeed00bbb52b9f733d289cfe0ef2ed45ff2d99e,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,59a349031afdad36edc1e8635435bdb97a21a7b55c62d54c677a94e0e8a1e48ab4aab04eaa775d09,17,59a349031afdad36edc1e8635435bdb97a21a7b5,5c62d54c677a94e0e8a1e48ab4aab04eaa775d09,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,d72b89db218d64e0115ab9491009f0d2dc7e753559a349031afdad36edc1e8635435bdb97a21a7b5,17,d72b89db218d64e0115ab9491009f0d2dc7e7535,59a349031afdad36edc1e8635435bdb97a21a7b5,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,73d1f3fe02982fa243f8afe55ab0ea92057690c4d72b89db218d64e0115ab9491009f0d2dc7e7535,17,73d1f3fe02982fa243f8afe55ab0ea92057690c4,d72b89db218d64e0115ab9491009f0d2dc7e7535,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,dc0498d82bf059fb503936a7b4e8a163d75ea85173d1f3fe02982fa243f8afe55ab0ea92057690c4,17,dc0498d82bf059fb503936a7b4e8a163d75ea851,73d1f3fe02982fa243f8afe55ab0ea92057690c4,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,21269fa073a0587a75de83c0705985f98dac6128dc0498d82bf059fb503936a7b4e8a163d75ea851,17,21269fa073a0587a75de83c0705985f98dac6128,dc0498d82bf059fb503936a7b4e8a163d75ea851,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,88d84c537c15c7e3e6154ac7ed18b792d0b4d3c821269fa073a0587a75de83c0705985f98dac6128,17,88d84c537c15c7e3e6154ac7ed18b792d0b4d3c8,21269fa073a0587a75de83c0705985f98dac6128,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,6156922ad6d8d2c4965dbdd10f4f2b65b13b9e7688d84c537c15c7e3e6154ac7ed18b792d0b4d3c8,17,6156922ad6d8d2c4965dbdd10f4f2b65b13b9e76,88d84c537c15c7e3e6154ac7ed18b792d0b4d3c8,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,35258a5393cc7840bc9af0d1dcd3c47ea58e2fa06156922ad6d8d2c4965dbdd10f4f2b65b13b9e76,17,35258a5393cc7840bc9af0d1dcd3c47ea58e2fa0,6156922ad6d8d2c4965dbdd10f4f2b65b13b9e76,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,dbb239203460253f84b0f848b8f05e3b6e11a2fd35258a5393cc7840bc9af0d1dcd3c47ea58e2fa0,17,dbb239203460253f84b0f848b8f05e3b6e11a2fd,35258a5393cc7840bc9af0d1dcd3c47ea58e2fa0,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,6b3b3b74265c97c33186440d10b97822adc662c7dbb239203460253f84b0f848b8f05e3b6e11a2fd,17,6b3b3b74265c97c33186440d10b97822adc662c7,dbb239203460253f84b0f848b8f05e3b6e11a2fd,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,d6ea072ccc75c42030a1b8a380d7bbf32b6e1e526b3b3b74265c97c33186440d10b97822adc662c7,17,d6ea072ccc75c42030a1b8a380d7bbf32b6e1e52,6b3b3b74265c97c33186440d10b97822adc662c7,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,83ad5fb07ebb19ae1e47a3e157a5eb146cfeba22d6ea072ccc75c42030a1b8a380d7bbf32b6e1e52,17,83ad5fb07ebb19ae1e47a3e157a5eb146cfeba22,d6ea072ccc75c42030a1b8a380d7bbf32b6e1e52,690,690,3037,3037,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,f4ebcf7aed4ffff825beec67b47d3a8d9971293683ad5fb07ebb19ae1e47a3e157a5eb146cfeba22,17,f4ebcf7aed4ffff825beec67b47d3a8d99712936,83ad5fb07ebb19ae1e47a3e157a5eb146cfeba22,690,691,3037,3041,10.0,10.0,9,9,1,4,0.0,0,negative,negative,invariant,invariant
netty,2fc18a00f6ac61a365b73dd498dd2e38f1efa823f4ebcf7aed4ffff825beec67b47d3a8d99712936,17,2fc18a00f6ac61a365b73dd498dd2e38f1efa823,f4ebcf7aed4ffff825beec67b47d3a8d99712936,691,692,3041,3043,10.0,10.0,9,9,1,2,0.0,0,negative,negative,invariant,invariant
netty,9f1c39469787d53a4071b661622a72902156e3132fc18a00f6ac61a365b73dd498dd2e38f1efa823,17,9f1c39469787d53a4071b661622a72902156e313,2fc18a00f6ac61a365b73dd498dd2e38f1efa823,692,692,3043,3043,10.0,10.0,9,9,0,0,0.0,0,invariant,invariant,invariant,invariant
netty,07803b3e2c463b9ad5c1b82c747cb04e7bffb4c095f3af0a02c664f4a73c7ba4f1a32c11aecd28f0,22,07803b3e2c463b9ad5c1b82c747cb04e7bffb4c0,95f3af0a02c664f4a73c7ba4f1a32c11aecd28f0,690,692,3037,3042,10.0,10.0,9,9,2,5,0.0,0,negative,negative,invariant,invariant
netty,f474fc609af1d401b601d2370ba0756b64654b1d2fc18a00f6ac61a365b73dd498dd2e38f1efa823,25,f474fc609af1d401b601d2370ba0756b64654b1d,2fc18a00f6ac61a365b73dd498dd2e38f1efa823,692,692,3043,3050,10.0,10.0,9,9,0,7,0.0,0,invariant,negative,invariant,invariant
netty,c2417c253c48bac942decfe923743d2b09d63a5ff474fc609af1d401b601d2370ba0756b64654b1d,25,c2417c253c48bac942decfe923743d2b09d63a5f,f474fc609af1d401b601d2370ba0756b64654b1d,692,692,3050,3051,10.0,10.0,9,9,0,1,0.0,0,invariant,negative,invariant,invariant
netty,aa72c987e73827687b9c5921c20afabccc9c03e89f1c39469787d53a4071b661622a72902156e313,26,aa72c987e73827687b9c5921c20afabccc9c03e8,9f1c39469787d53a4071b661622a72902156e313,692,716,3043,3182,10.0,10.0,9,9,24,139,0.0,0,negative,negative,invariant,invariant
netty,33f548a8ae2b988c8d316de8b4d3e6957c32b446aa72c987e73827687b9c5921c20afabccc9c03e8,26,33f548a8ae2b988c8d316de8b4d3e6957c32b446,aa72c987e73827687b9c5921c20afabccc9c03e8,716,716,3182,3183,10.0,10.0,9,9,0,1,0.0,0,invariant,negative,invariant,invariant
