project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
okhttp,ea63463c2ff8a67f63e541036f0d5998b5bb1f3e063964211c05103bd10fddeda9fafe93a856506b,1,ea63463c2ff8a67f63e541036f0d5998b5bb1f3e,063964211c05103bd10fddeda9fafe93a856506b,0.0,76,0.0,425,0.0,4.0,0,9,76.0,425.0,4.0,9,negative,negative,negative,negative
okhttp,0ea4c8fc132d2b452b2ea57e06fcab67ae317473eba4ae53a8fd0076a2239bd63c27e1273f3cd7bd,2,0ea4c8fc132d2b452b2ea57e06fcab67ae317473,eba4ae53a8fd0076a2239bd63c27e1273f3cd7bd,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,fc01d7e54dd52bf454c0230009834ae30a93538deba4ae53a8fd0076a2239bd63c27e1273f3cd7bd,3,fc01d7e54dd52bf454c0230009834ae30a93538d,eba4ae53a8fd0076a2239bd63c27e1273f3cd7bd,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,4425f3ec2ba8004d4f2afc271dfc0f1f0df713ab7781c0702e35ee56f479b25ec12bed6e318800f9,4,4425f3ec2ba8004d4f2afc271dfc0f1f0df713ab,7781c0702e35ee56f479b25ec12bed6e318800f9,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,53ef23eae2c65997bfe575fb5904cf6d32e7a0919284516489fe25dbb26b2c19021e65441689758f,5,53ef23eae2c65997bfe575fb5904cf6d32e7a091,9284516489fe25dbb26b2c19021e65441689758f,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,ea19431b816c6350e54cfad1b659d034edebe6d07e6015ba47ce2a792bb44dd5eea5279cd6a5bfc6,6,ea19431b816c6350e54cfad1b659d034edebe6d0,7e6015ba47ce2a792bb44dd5eea5279cd6a5bfc6,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,0a1d49b221d3990fd1559f4705443cf8b0cab5e9077ba76f43f3abd041c2bdd4f26bee3927c5a662,7,0a1d49b221d3990fd1559f4705443cf8b0cab5e9,077ba76f43f3abd041c2bdd4f26bee3927c5a662,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,f984c3940d3352f8d9be42e0e110cb006624762d7e6015ba47ce2a792bb44dd5eea5279cd6a5bfc6,8,f984c3940d3352f8d9be42e0e110cb006624762d,7e6015ba47ce2a792bb44dd5eea5279cd6a5bfc6,76.0,76,425.0,425,4.0,4.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,08b1d7f3206981c69e72680e94a220353a8db7c328518d748c5b01198c020cd754a8b2bad4925740,9,08b1d7f3206981c69e72680e94a220353a8db7c3,28518d748c5b01198c020cd754a8b2bad4925740,76.0,76,425.0,426,4.0,4.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,33a0c620e1c1997ece0ee3382ad3e2145ee061a83608deb867c65e4c1eb0f7d0ceb64249d7eac893,10,33a0c620e1c1997ece0ee3382ad3e2145ee061a8,3608deb867c65e4c1eb0f7d0ceb64249d7eac893,76.0,77,426.0,427,4.0,4.0,9,9,1.0,1.0,0.0,0,negative,negative,invariant,invariant
