project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
presto,4a876e6253ac51ef50d42a5992b0d7efdeb754707fce9067924a53caed581b661e648c52e6ced676,1,4a876e6253ac51ef50d42a5992b0d7efdeb75470,7fce9067924a53caed581b661e648c52e6ced676,19.0,19.0,59.0,59.0,3.0,3.0,2,2,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,e76b9e67af0bc766355d0288c16485a6b1adb0704a876e6253ac51ef50d42a5992b0d7efdeb75470,1,e76b9e67af0bc766355d0288c16485a6b1adb070,4a876e6253ac51ef50d42a5992b0d7efdeb75470,19.0,18.0,59.0,61.0,3.0,3.0,2,2,-1.0,2.0,0.0,0,positive,negative,invariant,invariant
presto,a8aad9b367e56a66ecb55bb9d237a6da7ee7b378e76b9e67af0bc766355d0288c16485a6b1adb070,1,a8aad9b367e56a66ecb55bb9d237a6da7ee7b378,e76b9e67af0bc766355d0288c16485a6b1adb070,18.0,18.0,61.0,69.0,3.0,3.0,2,2,0.0,8.0,0.0,0,invariant,negative,invariant,invariant
presto,7bb225dc202210c8700018b8a22ee8b96f10ef3ca8aad9b367e56a66ecb55bb9d237a6da7ee7b378,1,7bb225dc202210c8700018b8a22ee8b96f10ef3c,a8aad9b367e56a66ecb55bb9d237a6da7ee7b378,18.0,18.0,69.0,75.0,3.0,3.0,2,2,0.0,6.0,0.0,0,invariant,negative,invariant,invariant
presto,8272f12f47a2ce3a88aa9e5b03825f94ea5480d97bb225dc202210c8700018b8a22ee8b96f10ef3c,1,8272f12f47a2ce3a88aa9e5b03825f94ea5480d9,7bb225dc202210c8700018b8a22ee8b96f10ef3c,18.0,21.0,75.0,85.0,3.0,3.0,2,2,3.0,10.0,0.0,0,negative,negative,invariant,invariant
presto,c17292ee7b4d853473129bec3ffcb5297005456d8272f12f47a2ce3a88aa9e5b03825f94ea5480d9,2,c17292ee7b4d853473129bec3ffcb5297005456d,8272f12f47a2ce3a88aa9e5b03825f94ea5480d9,21.0,27.0,85.0,210.0,3.0,4.0,2,4,6.0,125.0,1.0,2,negative,negative,negative,negative
presto,0b92d8696e2892acea4d1f1c75d6a66cacf7c46bc17292ee7b4d853473129bec3ffcb5297005456d,4,0b92d8696e2892acea4d1f1c75d6a66cacf7c46b,c17292ee7b4d853473129bec3ffcb5297005456d,27.0,29.0,210.0,237.0,4.0,4.0,4,5,2.0,27.0,0.0,1,negative,negative,invariant,negative
presto,75f19fccae61694bfe0541a5b4d281d47b4023560b92d8696e2892acea4d1f1c75d6a66cacf7c46b,4,75f19fccae61694bfe0541a5b4d281d47b402356,0b92d8696e2892acea4d1f1c75d6a66cacf7c46b,29.0,29.0,237.0,235.0,4.0,4.0,5,5,0.0,-2.0,0.0,0,invariant,positive,invariant,invariant
presto,be0ec1c775decb005579505347cbe535416c524a75f19fccae61694bfe0541a5b4d281d47b402356,5,be0ec1c775decb005579505347cbe535416c524a,75f19fccae61694bfe0541a5b4d281d47b402356,29.0,30.0,235.0,243.0,4.0,4.0,5,5,1.0,8.0,0.0,0,negative,negative,invariant,invariant
presto,6d5f5410d85f134e092e4026f42c88f3c72d2981be0ec1c775decb005579505347cbe535416c524a,6,6d5f5410d85f134e092e4026f42c88f3c72d2981,be0ec1c775decb005579505347cbe535416c524a,30.0,32.0,243.0,243.0,4.0,5.0,5,5,2.0,0.0,1.0,0,negative,invariant,negative,invariant
