id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1,True,61.0,13604.0,1760.0,13664.0,0,0,0,0,employee,0,0,0,0,0,0
4,False,1.0,6.0,2.0,48.0,0,0,0,0,employee,0,0,0,0,0,0
9,False,26.0,288.0,1115.0,7637.0,1,0,0,1,employee,0,75,75.0,0,0.0,0
10,True,2.0,165.0,190.0,2192.0,0,0,0,0,employee,0,0,0,0,0,0
11,False,4.0,628.0,268.0,3262.0,0,0,0,0,employee,0,0,0,0,0,0
12,False,17.0,247.0,984.0,7114.0,0,0,0,0,employee,0,0,0,0,0,0
13,False,1.0,4.0,49.0,233.0,0,0,0,0,employee,0,0,0,0,0,0
14,False,1.0,16.0,0.0,16.0,1,0,0,1,employee,0,8,8.0,0,0.0,0
16,False,2.0,55.0,315.0,2647.0,0,0,0,0,employee,0,0,0,0,0,0
20,False,2.0,52.0,330.0,2824.0,0,0,0,0,employee,0,0,0,0,0,0
21,False,1.0,7.0,93.0,607.0,0,0,0,0,employee,0,0,0,0,0,0
22,False,2.0,6.0,106.0,623.0,0,0,0,0,employee,0,0,0,0,0,0
23,True,3.0,844.0,310.0,2276.0,0,0,0,0,employee,0,0,0,0,0,0
24,False,2.0,53.0,317.0,2747.0,0,0,0,0,employee,0,0,0,0,0,0
25,True,2.0,1897.0,279.0,2536.0,0,0,0,0,employee,0,0,0,0,0,0
26,True,4.0,384.0,260.0,1772.0,0,0,0,0,employee,0,0,0,0,0,0
27,False,1.0,6.0,49.0,243.0,0,0,0,0,employee,0,0,0,0,0,0
28,False,2.0,11.0,121.0,841.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
29,False,5.0,136.0,506.0,4066.0,0,0,0,0,employee,0,0,0,0,0,0
30,False,2.0,32.0,106.0,622.0,0,0,0,0,employee,0,0,0,0,0,0
31,False,2.0,125.0,329.0,2821.0,1,0,0,1,employee,0,3,3.0,0,0.0,4
33,False,6.0,142.0,102.0,1006.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
34,True,2.0,63.0,75.0,453.0,0,0,0,0,employee,0,0,0,0,0,0
35,False,6.0,327.0,115.0,1040.0,0,0,0,0,employee,0,0,0,0,0,0
37,True,3.0,225.0,137.0,1004.0,0,0,0,0,employee,0,0,0,0,0,0
38,False,4.0,198.0,157.0,1369.0,0,0,0,0,employee,0,0,0,0,0,0
39,False,7.0,604.0,157.0,1517.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
40,False,1.0,2.0,29.0,172.0,0,0,0,0,employee,0,0,0,0,0,0
42,False,5.0,74.0,177.0,1500.0,0,0,0,0,employee,0,0,0,0,0,0
43,False,8.0,155.0,840.0,5678.0,0,0,0,0,employee,0,0,0,0,0,0
44,False,4.0,79.0,115.0,1131.0,0,0,0,0,employee,0,0,0,0,0,0
45,True,4.0,435.0,129.0,1167.0,0,0,0,0,employee,0,0,0,0,0,0
46,True,4.0,409.0,165.0,1497.0,0,0,0,0,employee,0,0,0,0,0,4
47,False,2.0,42.0,328.0,2889.0,0,0,0,0,employee,0,0,0,0,0,0
48,False,4.0,58.0,516.0,3984.0,1,0,0,1,employee,0,10,10.0,0,0.0,2
49,False,15.0,1016.0,892.0,6098.0,3,0,1,1,employee,1,28,9.333333333333334,506,0.0,0
52,False,3.0,26.0,198.0,1224.0,0,0,0,0,employee,0,0,0,0,0,0
53,True,10.0,1048.0,753.0,5596.0,2,1,0,1,employee,0,13,6.5,0,0.0,0
54,True,2.0,78.0,349.0,2955.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
55,False,2.0,26.0,355.0,2975.0,1,0,0,1,employee,0,7,7.0,0,0.0,0
56,True,4.0,472.0,141.0,931.0,1,0,0,1,employee,0,6,6.0,0,0.0,0
58,False,1.0,6.0,57.0,316.0,0,0,0,0,employee,0,0,0,0,0,0
59,False,3.0,104.0,518.0,4972.0,0,0,0,0,employee,0,0,0,0,0,0
60,False,110.0,3779.0,2360.0,18956.0,0,0,0,0,employee,0,0,0,0,0,0
61,False,10.0,273.0,873.0,6006.0,1,0,0,1,employee,1,31,31.0,368,0.0,0
62,False,2.0,135.0,264.0,2584.0,0,0,0,0,employee,0,0,0,0,0,0
63,False,2.0,364.0,268.0,2581.0,1,0,0,1,employee,1,30,30.0,368,0.0,0
64,True,4.0,269.0,393.0,3195.0,1,0,0,1,employee,1,29,29.0,368,0.0,0
65,False,7.0,224.0,363.0,2466.0,0,0,0,0,employee,0,0,0,0,0,0
66,False,15.0,652.0,664.0,4407.0,0,0,0,0,employee,0,0,0,0,0,0
67,False,25.0,436.0,1183.0,7360.0,1,0,0,1,employee,1,29,29.0,288,0.0,0
68,False,6.0,208.0,469.0,3519.0,1,0,0,1,employee,0,4,4.0,0,0.0,1
69,False,19.0,1327.0,1033.0,8862.0,1,0,0,1,employee,1,11,11.0,182,0.0,0
70,False,4.0,117.0,133.0,1060.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
71,False,5.0,274.0,198.0,1844.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
72,False,9.0,237.0,486.0,3625.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
73,True,3.0,169.0,194.0,1788.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
74,False,6.0,205.0,199.0,1930.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
75,False,5.0,80.0,227.0,2073.0,2,0,1,1,employee,1,6,3.0,182,0.0,0
76,False,1.0,72.0,22.0,171.0,0,0,0,0,employee,0,0,0,0,0,0
77,False,6.0,115.0,310.0,2715.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
78,False,49.0,805.0,2153.0,16623.0,2,1,0,1,employee,0,57,28.5,0,0.0,0
79,False,3.0,49.0,134.0,887.0,0,0,0,0,employee,0,0,0,0,0,0
80,False,14.0,418.0,551.0,4424.0,3,0,1,1,employee,1,61,20.333333333333332,182,0.0,0
84,False,6.0,96.0,328.0,2852.0,1,0,0,1,employee,1,9,9.0,182,0.0,0
85,False,6.0,158.0,348.0,2970.0,1,0,0,1,employee,1,7,7.0,182,0.0,0
86,True,8.0,325.0,433.0,3447.0,1,0,1,0,employee,0,5,5.0,0,0.0,2
87,True,3.0,378.0,135.0,947.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
88,True,16.0,521.0,954.0,6727.0,0,0,0,0,employee,0,0,0,0,0,0
89,False,5.0,82.0,285.0,1848.0,1,0,0,1,employee,1,3,3.0,182,0.0,0
91,False,2.0,29.0,360.0,2866.0,0,0,0,0,employee,0,0,0,0,0,0
92,False,1.0,6.0,254.0,2354.0,0,0,0,0,employee,0,0,0,0,0,0
93,False,2.0,44.0,359.0,2881.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
94,True,7.0,828.0,465.0,2983.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
96,False,56.0,29554.0,2436.0,18421.0,4,0,2,1,employee,0,14,3.5,0,0.0,0
98,False,6.0,63.0,0.0,19.0,0,0,0,0,employee,0,0,0,0,0,0
99,False,3.0,25.0,497.0,3538.0,2,0,1,1,employee,0,13,6.5,0,0.0,0
100,False,2.0,8.0,347.0,2847.0,1,0,1,0,employee,0,8,8.0,0,0.0,0
101,False,14.0,349.0,1468.0,10137.0,0,0,0,0,employee,0,0,0,0,0,0
103,False,3.0,123.0,486.0,3543.0,0,0,0,0,employee,0,0,0,0,0,0
107,False,2.0,49.0,96.0,533.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
117,False,1.0,12.0,40.0,245.0,0,0,0,0,employee,0,0,0,0,0,0
