id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
639,True,697.0,15719.0,17469.0,134151.0,0,0,0,0,employee,0,0,0,0,0,26
1065,True,1545.0,40818.0,48761.0,357385.0,6,2,1,1,employee,0,49,8.166666666666666,0,96.66666666666667,581
1258,True,289.0,9636.0,10344.0,67442.0,11,2,0,2,employee,0,256,23.272727272727273,0,89.0909090909091,48
1317,False,1.0,9.0,28.0,193.0,0,0,0,0,employee,0,0,0,0,0,0
1574,True,45.0,1676.0,813.0,9000.0,10,0,0,2,employee,0,514,51.4,0,22.1,1
1587,False,1.0,19.0,5.0,138.0,0,0,0,0,employee,0,0,0,0,0,0
1600,False,1.0,27.0,5.0,19.0,0,0,0,0,employee,0,0,0,0,0,0
1609,False,4.0,96.0,122.0,967.0,0,0,0,0,employee,0,0,0,0,0,0
1616,False,2.0,20.0,41.0,379.0,0,0,0,0,employee,0,0,0,0,0,0
1625,False,1.0,7.0,38.0,229.0,0,0,0,0,employee,0,0,0,0,0,0
1707,False,1.0,2.0,24.0,210.0,0,0,0,0,employee,0,0,0,0,0,0
1714,False,1.0,16.0,81.0,352.0,2,0,1,1,employee,0,10,5.0,0,0.0,1
1715,False,1.0,10.0,18.0,170.0,0,0,0,0,employee,0,0,0,0,0,0
1716,True,2.0,226.0,33.0,517.0,0,0,0,0,employee,0,0,0,0,0,0
1719,False,4.0,32.0,100.0,817.0,0,0,0,0,employee,0,0,0,0,0,0
1741,False,2.0,4.0,233.0,1152.0,0,0,0,0,employee,0,0,0,0,0,0
1742,False,1.0,3.0,61.0,164.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
1750,False,2.0,22.0,24.0,284.0,0,0,0,0,employee,0,0,0,0,0,0
1769,False,1.0,15.0,20.0,730.0,0,0,0,0,employee,0,0,0,0,0,0
2558,True,2.0,101.0,9.0,100.0,0,0,0,0,employee,0,0,0,0,0,0
2560,False,74.0,660.0,3237.0,20824.0,0,0,0,0,employee,0,0,0,0,0,0
2567,False,3.0,43.0,201.0,1455.0,0,0,0,0,employee,0,0,0,0,0,0
2579,False,1.0,5.0,76.0,388.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
2681,False,1.0,2.0,6.0,78.0,0,0,0,0,employee,0,0,0,0,0,0
2715,False,2.0,32.0,187.0,1028.0,0,0,0,0,employee,0,0,0,0,0,0
2725,False,1.0,4.0,10.0,100.0,1,0,1,0,employee,0,11,11.0,0,0.0,0
2811,False,3.0,120.0,51.0,416.0,0,0,0,0,employee,0,0,0,0,0,10
2813,False,1.0,12.0,16.0,298.0,0,0,0,0,employee,0,0,0,0,0,0
2934,False,2.0,14.0,77.0,570.0,0,0,0,0,employee,0,0,0,0,0,0
2957,False,1.0,12.0,28.0,453.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
2958,False,2.0,27.0,105.0,491.0,0,0,0,0,employee,0,0,0,0,0,3
2964,False,7.0,105.0,74.0,773.0,1,0,0,1,employee,0,6,6.0,0,0.0,0
2965,False,3.0,58.0,76.0,853.0,1,0,0,1,employee,0,8,8.0,0,0.0,0
2985,False,2.0,281.0,216.0,1553.0,0,0,0,0,employee,0,0,0,0,0,0
2995,False,6.0,150.0,59.0,760.0,0,0,0,0,employee,0,0,0,0,0,0
3002,False,2.0,57.0,99.0,934.0,0,0,0,0,employee,0,0,0,0,0,0
3009,False,2.0,34.0,118.0,1578.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
3011,False,9.0,209.0,214.0,1473.0,0,0,0,0,employee,0,0,0,0,0,0
3015,False,2.0,59.0,99.0,929.0,13,1,0,3,employee,0,283,21.76923076923077,0,43.07692307692308,0
3104,True,20.0,1366.0,1212.0,8039.0,0,0,0,0,employee,0,0,0,0,0,1
3156,False,51.0,575.0,1982.0,17347.0,0,0,0,0,employee,0,0,0,0,0,0
3170,True,6.0,364.0,151.0,1306.0,0,0,0,0,employee,0,0,0,0,0,0
3192,False,1.0,1.0,16.0,219.0,0,0,0,0,employee,0,0,0,0,0,0
3194,True,13.0,637.0,803.0,5723.0,0,0,0,0,employee,0,0,0,0,0,3
3198,False,6.0,221.0,344.0,4394.0,0,0,0,0,employee,0,0,0,0,0,0
3207,True,5.0,374.0,157.0,1893.0,0,0,0,0,employee,0,0,0,0,0,0
3221,False,1.0,2.0,28.0,569.0,0,0,0,0,employee,0,0,0,0,0,0
3225,True,3.0,75.0,106.0,831.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
3227,True,5.0,134.0,123.0,1641.0,2,0,1,1,employee,0,10,5.0,0,0.0,0
3230,True,5.0,231.0,236.0,1974.0,0,0,0,0,employee,0,0,0,0,0,0
3243,False,2.0,41.0,12.0,355.0,0,0,0,0,employee,0,0,0,0,0,0
3248,False,14.0,136.0,365.0,3611.0,0,0,0,0,employee,0,0,0,0,0,2
3272,True,2.0,62.0,16.0,218.0,0,0,0,0,employee,0,0,0,0,0,0
