id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1,True,13.0,681.0,105.0,886.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
2,True,30.0,3274.0,435.0,3814.0,1,0,1,0,employee,0,4,4.0,0,0.0,2
4,True,22.0,744.0,37.0,381.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
5,True,5.0,362.0,13.0,116.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
6,True,5.0,1191.0,201.0,1885.0,0,0,0,0,employee,0,0,0,0,0,0
7,False,1.0,10.0,47.0,343.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
8,False,3.0,18.0,25.0,273.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
9,False,10.0,416.0,121.0,975.0,2,0,2,0,employee,0,12,6.0,0,0.0,1
10,True,4.0,487.0,43.0,491.0,1,0,1,0,employee,0,33,33.0,0,0.0,0
11,True,13.0,913.0,186.0,1589.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
15,False,17.0,357.0,125.0,1046.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
18,False,1.0,19.0,14.0,148.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
20,True,3.0,209.0,34.0,291.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
22,False,6.0,73.0,187.0,1516.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
23,True,7.0,365.0,201.0,1843.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
24,True,8.0,251.0,37.0,347.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
25,True,15.0,666.0,356.0,2935.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
26,True,41.0,1745.0,702.0,5710.0,0,0,0,0,employee,0,0,0,0,0,0
27,True,36.0,1122.0,425.0,3542.0,1,0,1,0,employee,0,3,3.0,0,0.0,6
28,False,48.0,142.0,748.0,6766.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
29,True,15.0,608.0,132.0,1009.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
31,False,2.0,203.0,18.0,173.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
32,True,32.0,1743.0,349.0,3435.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
33,False,21.0,449.0,97.0,1009.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
35,False,3.0,12.0,15.0,231.0,0,0,0,0,employee,0,0,0,0,0,0
36,True,16.0,1088.0,87.0,925.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
37,True,49.0,2561.0,438.0,3854.0,0,0,0,0,employee,0,0,0,0,0,4
38,True,161.0,5751.0,2154.0,18584.0,0,0,0,0,employee,0,0,0,0,0,1
39,False,1.0,264.0,26.0,265.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
41,True,59.0,1508.0,1171.0,9833.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
42,True,3.0,170.0,40.0,434.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
43,True,3.0,181.0,24.0,212.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
44,False,112.0,1965.0,1119.0,10840.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
45,False,5.0,27.0,105.0,1269.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
46,False,1.0,21.0,0.0,21.0,0,0,0,0,employee,0,0,0,0,0,0
49,False,150.0,2016.0,1505.0,13774.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
50,False,8.0,130.0,56.0,624.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
51,False,2.0,32.0,33.0,334.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
52,False,1.0,14.0,32.0,354.0,1,0,1,0,employee,0,9,9.0,0,0.0,0
53,True,25.0,954.0,210.0,2428.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
54,True,111.0,1696.0,1062.0,9503.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
