id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
3123,1.0,4.0,35.0,433.0,2,0,0,1,employee,0,29,14.5,0,6.5,13
206,2.0,25.0,7.0,121.0,2,1,0,1,employee,0,18,9.0,0,1.0,2
933,6.0,280.0,431.0,9009.0,3,1,1,0,employee,0,31,10.333333333333334,0,0.0,0
574,1.0,4.0,299.0,6234.0,1,1,0,0,employee,0,8,8.0,0,0.0,2
2482,2.0,100.0,223.0,1998.0,1,0,0,1,employee,0,5,5.0,0,0.0,5
377,3.0,237.0,225.0,4326.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
2788,2.0,45.0,77.0,646.0,1,0,0,1,employee,0,13,13.0,0,0.0,2
1084,4.0,336.0,373.0,7861.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
938,12.0,375.0,128.0,1100.0,14,1,2,0,employee,0,459,32.785714285714285,0,0.6428571428571429,11
331,191.0,2737.0,3931.0,54345.0,46,1,4,1,employee,29,1921,41.76086956521739,10159,0.021739130434782608,4
1951,2.0,7.0,140.0,897.0,0,0,0,0,employee,0,0,0,0,0,0
5,5.0,53.0,111.0,916.0,0,0,0,0,employee,0,0,0,0,0,0
847,27.0,1811.0,1581.0,30239.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
366,5.0,369.0,234.0,4324.0,9,1,1,1,employee,1,210,23.333333333333332,806,0.0,0
999,7.0,522.0,244.0,2392.0,2,1,0,0,employee,0,18,9.0,0,1.5,4
3329,11.0,1375.0,882.0,5853.0,0,0,0,0,employee,0,0,0,0,0,0
741,3.0,917.0,471.0,9049.0,6,1,0,2,employee,1,70,11.666666666666666,77,0.3333333333333333,2
1423,18.0,182.0,359.0,4034.0,1,1,0,0,temporary,0,8,8.0,0,0.0,0
3244,2.0,175.0,365.0,1941.0,0,0,0,0,employee,0,0,0,0,0,0
694,4.0,446.0,387.0,7893.0,3,1,0,0,employee,0,25,8.333333333333334,0,0.0,0
3121,3.0,215.0,47.0,445.0,3,0,1,1,employee,0,41,13.666666666666666,0,0.3333333333333333,2
