id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
342,3.0,200.0,205.0,1497.0,1,0,0,1,temporary,0,4,4.0,0,0.0,0
75,22.0,396.0,98.0,903.0,8,0,1,2,employee,0,98,12.25,0,0.0,0
121,8.0,11.0,113.0,1517.0,0,0,0,0,employee,0,0,0,0,0,2
946,1.0,5.0,10.0,66.0,0,0,0,0,temporary,0,0,0,0,0,0
461,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
128,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
253,3.0,144.0,7.0,16.0,0,0,0,0,employee,0,0,0,0,0,0
1891,132.0,2924.0,4634.0,33025.0,0,0,0,0,temporary,0,0,0,0,0,0
464,70.0,5052.0,2641.0,19359.0,1,0,0,1,employee,0,4,4.0,0,0.0,3
379,1.0,8.0,91.0,370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
339,2.0,4.0,22.0,338.0,0,0,0,0,employee,0,0,0,0,0,0
594,89.0,1976.0,939.0,10009.0,8,0,0,2,employee,2,303,37.875,130,0.0,2
132,50.0,6390.0,409.0,5102.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
123,7.0,81.0,95.0,1105.0,4,0,0,2,employee,0,28,7.0,0,0.0,0
196,21.0,3791.0,377.0,3447.0,1,0,0,1,employee,0,11,11.0,0,0.0,1
244,81.0,1400.0,521.0,6150.0,0,0,0,0,employee,0,0,0,0,0,0
475,1.0,2.0,155.0,797.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
197,1.0,13.0,202.0,1370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
115,11.0,209.0,106.0,1257.0,4,0,1,2,employee,0,25,6.25,0,0.75,0
416,1.0,62.0,13.0,149.0,0,0,0,0,employee,0,0,0,0,0,0
