id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
58,1.0,6.0,57.0,316.0,0,0,0,0,employee,0,0,0,0,0,0
377,10.0,452.0,533.0,3070.0,5,0,2,1,employee,0,108,21.6,0,0.0,0
1234,5.0,52.0,235.0,1424.0,0,0,0,0,employee,0,0,0,0,0,0
2226,2.0,108.0,351.0,3386.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
804,5.0,92.0,637.0,4840.0,2,0,1,0,employee,0,8,4.0,0,0.0,0
4620,10.0,231.0,659.0,4969.0,0,0,0,0,employee,0,0,0,0,0,0
2454,1.0,3.0,62.0,385.0,0,0,0,0,employee,0,0,0,0,0,0
1260,20.0,1909.0,596.0,5471.0,8,0,2,1,employee,1,148,18.5,260,0.0,1
1602,3.0,237.0,243.0,1371.0,2,0,1,1,employee,0,7,3.5,0,0.0,0
3032,5.0,388.0,425.0,4113.0,2,0,0,1,employee,0,15,7.5,0,0.0,0
78,49.0,805.0,2153.0,16623.0,2,1,0,1,employee,0,57,28.5,0,0.0,0
124,2.0,25.0,66.0,662.0,1,0,1,0,employee,1,39,39.0,421,0.0,0
4676,4.0,125.0,343.0,4346.0,0,0,0,0,employee,0,0,0,0,0,0
2224,3.0,44.0,108.0,947.0,2,0,1,1,employee,0,4,2.0,0,0.0,0
5040,4.0,48.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
1297,12.0,345.0,1237.0,13347.0,1,0,1,0,employee,0,23,23.0,0,0.0,1
1626,1.0,5.0,84.0,678.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
1292,1.0,2.0,146.0,900.0,0,0,0,0,employee,0,0,0,0,0,0
248,2.0,161.0,49.0,466.0,0,0,0,0,temporary,0,0,0,0,0,0
779,10.0,97.0,1096.0,10068.0,0,0,0,0,employee,0,0,0,0,0,0
9,26.0,288.0,1115.0,7637.0,1,0,0,1,employee,0,75,75.0,0,0.0,0
413,20.0,666.0,883.0,6688.0,1,0,0,1,employee,0,15,15.0,0,0.0,0
2862,7.0,182.0,324.0,2285.0,0,0,0,0,employee,0,0,0,0,0,0
736,6.0,18.0,216.0,1531.0,0,0,0,0,employee,0,0,0,0,0,0
35,6.0,327.0,115.0,1040.0,0,0,0,0,employee,0,0,0,0,0,0
2841,3.0,15.0,150.0,935.0,0,0,0,0,employee,0,0,0,0,0,0
2065,5.0,138.0,414.0,3524.0,3,0,1,1,employee,1,16,5.333333333333333,147,0.0,0
2356,4.0,333.0,173.0,1091.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
2208,2.0,22.0,332.0,3402.0,0,0,0,0,employee,0,0,0,0,0,0
1112,4.0,63.0,285.0,2703.0,1,0,1,0,employee,0,8,8.0,0,0.0,0
1715,17.0,640.0,659.0,7442.0,0,0,0,0,employee,0,0,0,0,0,0
1532,4.0,154.0,163.0,1378.0,3,0,3,0,employee,0,24,8.0,0,0.0,7
944,5.0,61.0,453.0,3583.0,12,2,2,1,employee,3,228,19.0,818,68.58333333333333,10
2317,3.0,92.0,125.0,908.0,1,0,0,1,employee,0,13,13.0,0,0.0,0
28,2.0,11.0,121.0,841.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
2324,8.0,312.0,254.0,1934.0,0,0,0,0,employee,0,0,0,0,0,0
817,18.0,473.0,610.0,5421.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
2197,1.0,4.0,89.0,696.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
213,2.0,114.0,47.0,344.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
923,6.0,27.0,131.0,1799.0,2,0,1,1,employee,1,57,28.5,1505,0.0,0
1320,1.0,2.0,144.0,895.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
1264,1.0,8.0,50.0,306.0,1,0,1,0,employee,1,55,55.0,1831,0.0,0
479,7.0,163.0,426.0,3792.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
5077,1.0,6.0,17.0,288.0,0,0,0,0,employee,0,0,0,0,0,0
247,1.0,5.0,80.0,424.0,0,0,0,0,employee,0,0,0,0,0,0
4891,1.0,10.0,39.0,861.0,0,0,0,0,employee,0,0,0,0,0,0
2180,1.0,16.0,63.0,363.0,2,0,1,1,employee,0,46,23.0,0,0.0,0
3008,21.0,256.0,1832.0,11025.0,4,0,3,1,employee,0,77,19.25,0,0.25,3
1308,8.0,688.0,335.0,3322.0,6,0,1,1,employee,0,68,11.333333333333334,0,1.0,9
495,3.0,147.0,138.0,1818.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
501,10.0,810.0,70.0,709.0,5,1,1,1,employee,0,38,7.6,0,0.0,0
2685,5.0,757.0,17.0,155.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
5013,1.0,40.0,86.0,1620.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
650,1.0,11.0,152.0,923.0,4,0,1,1,employee,1,76,19.0,1695,0.0,0
455,4.0,50.0,86.0,542.0,3,0,1,1,employee,0,40,13.333333333333334,0,0.0,0
1527,1.0,5.0,10.0,112.0,0,0,0,0,employee,0,0,0,0,0,0
150,2.0,68.0,43.0,373.0,0,0,0,0,employee,0,0,0,0,0,0
1244,3.0,73.0,155.0,1040.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
2276,14.0,531.0,939.0,11061.0,0,0,0,0,employee,0,0,0,0,0,0
2421,2.0,129.0,333.0,2845.0,4,1,3,0,employee,0,55,13.75,0,371.0,0
759,4.0,8.0,125.0,814.0,5,0,1,1,employee,0,39,7.8,0,0.0,0
4070,1.0,2.0,47.0,489.0,0,0,0,0,employee,0,0,0,0,0,0
1079,5.0,77.0,147.0,1410.0,2,0,2,0,employee,0,10,5.0,0,0.0,0
5513,2.0,19.0,110.0,2015.0,1,0,0,1,employee,0,9,9.0,0,0.0,2
1505,1.0,25.0,360.0,3268.0,2,0,1,1,employee,0,13,6.5,0,0.0,0
378,18.0,476.0,1111.0,9500.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
245,1.0,2.0,80.0,423.0,1,0,1,0,temporary,0,8,8.0,0,0.0,0
318,1.0,3.0,130.0,592.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
583,5.0,59.0,653.0,4797.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
5102,11.0,22.0,603.0,7220.0,0,0,0,0,employee,0,0,0,0,0,0
4580,3.0,65.0,50.0,618.0,0,0,0,0,employee,0,0,0,0,0,0
2167,6.0,367.0,639.0,3521.0,3,0,1,1,employee,0,27,9.0,0,0.0,0
5051,12.0,95.0,602.0,7220.0,1,0,0,1,employee,0,10,10.0,0,0.0,2
4115,2.0,9.0,65.0,685.0,2,0,1,1,employee,0,49,24.5,0,0.0,0
1799,5.0,81.0,370.0,3247.0,1,0,1,0,employee,0,7,7.0,0,0.0,0
64,4.0,269.0,393.0,3195.0,1,0,0,1,employee,1,29,29.0,368,0.0,0
1364,2.0,42.0,57.0,477.0,5,0,1,1,employee,0,60,12.0,0,0.0,1
4157,1.0,2.0,69.0,445.0,0,0,0,0,employee,0,0,0,0,0,0
2091,2.0,27.0,81.0,501.0,0,0,0,0,employee,0,0,0,0,0,0
996,1.0,2.0,136.0,806.0,2,0,1,1,employee,0,18,9.0,0,0.0,0
2072,5.0,149.0,313.0,3306.0,0,0,0,0,employee,0,0,0,0,0,0
843,7.0,95.0,151.0,1853.0,0,0,0,0,employee,0,0,0,0,0,0
5669,4.0,637.0,384.0,5562.0,1,0,0,1,employee,0,19,19.0,0,0.0,0
1197,1.0,39.0,9.0,133.0,4,0,2,1,employee,0,42,10.5,0,0.75,3
858,1.0,4.0,97.0,529.0,2,0,1,1,employee,0,7,3.5,0,0.0,0
732,3.0,45.0,273.0,1548.0,0,0,0,0,employee,0,0,0,0,0,0
2722,3.0,70.0,183.0,1059.0,7,2,2,1,employee,0,228,32.57142857142857,0,16.0,0
2045,24.0,3137.0,1750.0,15668.0,1,0,1,0,employee,0,7,7.0,0,0.0,0
152,3.0,99.0,200.0,1167.0,0,0,0,0,employee,0,0,0,0,0,0
4825,4.0,36.0,510.0,4892.0,2,0,1,1,employee,1,352,176.0,3044,0.0,1
4968,1.0,11.0,39.0,371.0,0,0,0,0,employee,0,0,0,0,0,0
4272,1.0,66.0,103.0,1002.0,17,0,3,1,employee,2,247,14.529411764705882,310,1.5294117647058822,30
493,5.0,237.0,76.0,796.0,1,0,1,0,employee,0,7,7.0,0,0.0,0
811,4.0,74.0,335.0,2438.0,2,0,1,0,employee,2,84,42.0,354,0.0,0
961,1.0,44.0,151.0,941.0,0,0,0,0,employee,0,0,0,0,0,0
4686,1.0,2.0,10.0,228.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
4520,1.0,48.0,53.0,815.0,0,0,0,0,employee,0,0,0,0,0,0
209,1.0,24.0,133.0,636.0,4,0,1,1,employee,0,23,5.75,0,0.0,0
347,1.0,8.0,19.0,113.0,3,0,1,1,employee,0,19,6.333333333333333,0,0.3333333333333333,7
