id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
5374,1.0,6.0,67.0,633.0,1,0,1,0,temporary,0,3,3.0,0,0.0,0
7362,4.0,81.0,121.0,1636.0,4,0,1,0,employee,0,68,17.0,0,6.5,38
5224,11.0,145.0,123.0,1854.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
58,4.0,24.0,0.0,4.0,0,0,0,0,employee,0,0,0,0,0,0
5553,5.0,444.0,187.0,1662.0,3,0,3,0,employee,0,25,8.333333333333334,0,0.6666666666666666,7
5479,3.0,8.0,55.0,834.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
377,1.0,2.0,0.0,2.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
5625,4.0,39.0,163.0,1604.0,1,0,1,0,employee,0,10,10.0,0,0.0,1
1234,2.0,206.0,98.0,1156.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
5034,1.0,33.0,58.0,504.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
6857,2.0,59.0,0.0,-2.0,0,0,0,0,employee,0,0,0,0,0,3
9283,1.0,3.0,169.0,1367.0,0,0,0,0,employee,0,0,0,0,0,0
804,45.0,2618.0,1161.0,10086.0,2,0,2,0,employee,0,17,8.5,0,0.0,0
1844,25.0,414.0,557.0,5900.0,1,0,1,0,employee,0,3,3.0,0,0.0,4
1951,1.0,23.0,47.0,500.0,0,0,0,0,employee,0,0,0,0,0,0
10790,8.0,290.0,238.0,2631.0,0,0,0,0,employee,0,0,0,0,0,6
3883,39.0,369.0,1076.0,10504.0,7,0,2,0,employee,0,43,6.142857142857143,0,0.14285714285714285,2
7236,127.0,1213.0,3565.0,30249.0,0,0,0,0,employee,0,0,0,0,0,11
2175,6.0,454.0,163.0,1488.0,1,0,1,0,employee,0,3,3.0,0,0.0,3
9545,12.0,633.0,142.0,1640.0,0,0,0,0,employee,0,0,0,0,0,0
10757,9.0,55.0,81.0,969.0,0,0,0,0,employee,0,0,0,0,0,0
4974,1.0,2.0,10.0,127.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
3368,1.0,47.0,33.0,239.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
4620,4.0,27.0,20.0,251.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
5986,29.0,1531.0,282.0,3497.0,1,0,1,0,employee,0,6,6.0,0,0.0,1
10552,2.0,34.0,22.0,332.0,2,0,1,1,employee,0,50,25.0,0,0.0,0
3645,6.0,106.0,67.0,1077.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
3684,1.0,7.0,37.0,369.0,1,0,1,0,employee,0,9,9.0,0,0.0,11
3818,1.0,28.0,0.0,87.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1260,2.0,8.0,176.0,1640.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
638,2.0,6.0,249.0,2438.0,0,0,0,0,employee,0,0,0,0,0,0
1602,1.0,11.0,7.0,126.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
441,7.0,134.0,73.0,809.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
78,4.0,481.0,52.0,377.0,1,0,1,0,employee,0,4,4.0,0,0.0,1
2626,10.0,154.0,134.0,1646.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
3685,12.0,222.0,254.0,2561.0,7,1,2,0,temporary,0,87,12.428571428571429,0,0.42857142857142855,4
124,12.0,328.0,116.0,1390.0,1,0,1,0,employee,0,7,7.0,0,0.0,0
631,2.0,10.0,40.0,323.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
2772,42.0,931.0,308.0,2541.0,7,0,3,0,employee,0,63,9.0,0,3.0,22
5554,2.0,4.0,180.0,1251.0,1,0,1,0,employee,0,3,3.0,0,0.0,4
8506,1.0,7.0,1.0,7.0,1,0,1,0,employee,0,8,8.0,0,0.0,0
11585,16.0,334.0,578.0,7069.0,2,0,1,1,employee,0,39,19.5,0,0.0,0
11757,25.0,441.0,1037.0,6930.0,2,0,1,0,employee,1,123,61.5,612,0.5,35
15,17.0,357.0,125.0,1046.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1735,186.0,17542.0,2867.0,24373.0,3,0,2,0,employee,0,29,9.666666666666666,0,0.3333333333333333,16
10444,9.0,177.0,861.0,6994.0,1,0,1,0,employee,0,18,18.0,0,0.0,0
6463,1.0,3.0,113.0,1770.0,1,0,1,0,employee,0,3,3.0,0,0.0,4
1297,16.0,315.0,471.0,4485.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
