number,degradation_on_density_high_level_smells,degradation_on_density_low_level_smells,degradation_on_diversity_high_level_smells,degradation_on_diversity_low_level_smells
639,True,True,False,False
882,False,False,False,False
1065,True,True,False,False
1258,True,True,False,False
1317,False,False,False,False
1526,False,False,False,False
1574,True,True,False,False
1587,False,True,False,False
1600,False,True,False,False
1609,False,True,False,False
1616,False,False,False,False
1625,False,False,False,False
1681,True,True,False,False
1707,False,False,False,False
1714,False,True,False,False
1715,False,False,False,False
1716,True,True,False,False
1719,False,False,False,False
1741,False,False,False,False
1742,False,False,False,False
1750,False,True,False,False
1769,False,True,False,False
2558,True,True,False,False
2560,False,False,False,False
2567,False,True,False,False
2579,False,False,False,False
2670,False,False,False,False
2681,False,False,False,False
2715,False,True,False,False
2725,False,False,False,False
2758,False,False,False,False
2811,False,True,False,False
2813,False,False,False,False
2934,False,True,False,False
2957,False,True,False,False
2958,False,True,False,False
2964,False,True,False,False
2965,False,True,False,False
2985,False,True,False,False
2995,False,False,False,False
3002,False,True,False,False
3009,False,True,False,False
3011,False,True,False,False
3015,False,False,False,False
3104,True,True,False,False
3120,False,False,False,False
3156,False,False,False,False
3170,True,True,False,False
3192,False,False,False,False
3194,True,True,False,False
3198,False,True,False,False
3207,True,True,False,False
3221,False,False,False,False
3225,True,True,False,False
3227,True,False,False,False
3230,True,True,False,False
3243,False,True,False,False
3248,False,True,False,False
3272,True,True,False,False
3299,False,True,False,False
3306,True,False,False,False
3319,True,True,False,False
3339,False,False,False,False
3341,True,True,False,False
3352,False,False,False,False
3412,False,False,False,False
3416,True,True,False,False
3433,False,True,False,False
3436,False,True,False,False
3437,False,False,False,False
3462,False,False,False,False
3466,True,True,False,False
3525,False,False,False,False
3535,False,True,False,False
3549,False,False,False,False
3564,False,False,False,False
3632,False,True,False,False
3637,True,True,False,False
3640,True,True,False,False
3656,False,False,False,False
3702,False,False,False,False
3735,False,True,False,False
3741,False,False,False,False
3744,False,False,False,False
3751,False,True,False,False
3767,False,False,False,False
3770,False,False,False,False
3837,False,False,False,False
3845,False,True,False,False
3863,False,True,False,False
3879,False,False,False,False
3887,False,True,False,False
3895,False,True,False,False
3897,False,True,False,False
3902,False,False,False,False
3908,False,False,False,False
3935,False,True,False,False
3936,False,False,False,False
3940,False,False,False,False
3943,False,False,False,False
3947,False,True,False,False
3953,True,True,False,False
3963,True,False,False,False
3966,True,False,False,False
3967,False,False,False,False
3974,True,True,False,False
3988,True,True,False,False
4003,False,False,False,False
4013,True,True,False,False
4015,False,False,False,False
4018,True,True,False,False
4024,False,False,False,False
4070,False,False,False,False
4104,True,True,False,False
4122,False,False,False,False
4126,False,False,False,False
4129,True,True,False,False
4155,False,False,False,False
4165,False,False,False,False
4170,False,False,False,False
4193,True,True,False,False
4195,True,True,False,False
4197,False,False,False,False
4212,False,True,False,False
4225,False,True,False,False
4229,False,False,False,False
4234,False,False,False,False
4236,True,True,False,False
4238,True,True,False,False
4253,True,True,False,False
4256,False,False,False,False
4268,False,True,False,False
4269,False,False,False,False
4305,False,False,False,False
4312,False,False,False,False
4336,False,False,False,False
4347,False,True,False,False
4369,False,True,False,False
4370,False,False,False,False
4376,True,True,False,False
