number,degradation_on_density_high_level_smells,degradation_on_density_low_level_smells,degradation_on_diversity_high_level_smells,degradation_on_diversity_low_level_smells
1,True,True,True,True
2,False,False,False,False
3,False,False,False,False
4,False,False,False,False
5,False,False,False,False
6,False,False,False,False
7,False,False,False,False
8,False,False,False,False
9,False,True,False,False
10,True,True,False,False
11,False,True,False,False
12,False,False,False,False
13,False,False,False,False
14,False,False,False,False
16,False,True,False,False
20,False,False,False,False
21,False,False,False,False
22,False,False,False,False
23,True,True,False,False
24,False,False,False,False
25,True,True,False,False
26,True,True,False,False
27,False,False,False,False
28,False,False,False,False
29,False,False,False,False
30,False,False,False,False
31,False,False,False,False
33,False,True,False,False
34,True,True,False,False
35,False,True,False,False
36,False,False,False,False
37,True,True,False,False
38,False,True,False,False
39,False,True,False,False
40,False,False,False,False
42,False,True,False,False
43,False,True,False,False
44,False,True,False,False
45,True,True,False,False
46,True,True,False,False
47,False,False,False,False
48,False,True,False,False
49,False,True,False,False
52,False,True,False,False
53,True,True,False,False
54,True,True,False,False
55,False,True,False,False
56,True,True,False,False
58,False,False,False,False
59,False,True,False,False
60,False,False,False,False
61,False,True,False,False
62,False,False,False,False
63,False,True,False,False
64,True,True,False,False
65,False,False,False,False
66,False,False,False,False
67,False,False,False,False
68,False,False,False,False
69,False,True,False,False
70,False,False,False,False
71,False,True,False,False
72,False,True,False,False
73,True,False,False,False
74,False,False,False,False
75,False,True,False,False
76,False,True,False,False
77,False,True,False,False
78,False,False,False,False
79,False,True,False,False
80,False,True,False,False
84,False,True,False,False
85,False,False,False,False
86,True,True,False,False
87,True,True,False,False
88,True,True,False,False
89,False,False,False,False
91,False,True,False,False
92,False,False,False,False
93,False,True,False,False
94,True,True,False,False
96,False,False,False,False
98,False,False,False,False
99,False,False,False,False
100,False,False,False,False
101,False,False,False,False
102,False,False,False,False
103,False,False,False,False
107,False,True,False,False
117,False,False,False,False
118,False,False,False,False
119,False,False,False,False
120,True,False,False,False
121,False,False,False,False
122,False,True,False,False
123,False,False,False,False
124,False,True,False,False
125,False,True,False,False
126,False,False,False,False
127,False,True,False,False
129,True,False,True,False
130,False,True,False,False
132,False,False,False,False
133,True,False,False,False
134,False,False,False,False
135,False,False,False,False
136,False,True,False,False
138,True,True,False,False
140,False,False,False,False
141,False,True,False,False
142,False,True,False,False
143,False,False,False,False
144,False,False,False,False
146,False,False,False,False
147,False,False,False,False
148,False,False,False,False
150,False,True,False,False
152,True,True,False,False
153,False,True,False,False
155,True,True,False,False
156,True,True,False,False
157,False,False,False,False
158,False,False,False,False
159,False,False,False,False
160,False,False,False,False
161,False,False,False,False
162,True,True,False,False
165,True,True,False,False
166,False,False,False,False
168,False,False,False,False
169,False,False,False,False
170,False,False,False,False
172,False,False,False,False
174,True,True,False,False
176,False,False,False,False
178,False,False,False,False
185,False,True,False,False
186,False,False,False,False
188,False,False,False,False
192,True,True,False,False
194,False,False,False,False
197,False,False,False,False
199,False,False,False,False
201,False,False,False,False
204,False,True,False,False
208,False,False,False,False
209,False,False,False,False
210,False,False,False,False
211,True,False,False,False
212,False,False,False,False
213,False,True,False,False
217,False,True,False,False
218,False,False,False,False
225,True,True,False,False
231,False,False,False,False
232,False,False,False,False
233,False,True,False,False
234,False,False,False,False
235,False,False,False,False
236,True,True,False,False
237,True,True,False,False
238,False,True,False,False
239,False,False,False,False
241,False,False,False,False
243,False,False,False,False
244,False,False,False,False
245,False,False,False,False
246,False,False,False,False
247,False,False,False,False
248,False,True,False,False
249,False,False,False,False
250,False,False,False,False
254,True,False,False,False
255,False,True,False,False
261,False,False,False,False
263,True,True,True,True
266,False,False,False,True
267,False,False,False,False
275,False,True,False,False
276,True,False,False,False
277,True,True,False,False
279,False,False,False,False
280,False,True,False,False
283,False,False,False,False
287,False,True,False,False
289,False,True,False,False
295,False,False,False,False
297,False,False,False,False
299,True,True,False,False
301,False,True,False,False
302,False,True,False,False
306,False,True,False,False
307,False,False,False,False
308,False,False,False,False
309,False,True,False,False
312,False,True,False,False
314,False,True,False,False
315,False,False,False,False
316,False,False,False,False
318,False,False,False,False
320,False,True,False,False
322,False,True,False,False
325,False,False,False,False
327,False,False,False,False
329,False,True,False,False
339,False,False,False,False
340,False,False,False,False
343,False,True,False,False
345,False,True,False,False
346,False,False,False,False
347,False,True,False,False
355,False,True,False,False
356,False,False,False,False
365,False,False,False,False
366,False,True,False,False
368,False,True,False,False
374,False,False,False,False
376,False,False,False,False
377,True,True,False,False
378,False,True,False,False
379,False,True,False,False
380,True,True,False,False
381,False,True,False,False
382,False,False,False,False
383,False,False,False,False
384,False,False,False,False
385,False,True,False,False
387,False,True,False,False
388,False,False,False,False
389,False,False,False,False
390,False,True,False,False
391,False,False,False,False
393,False,False,False,False
394,False,False,False,False
395,False,True,False,False
396,True,True,False,False
397,False,True,False,False
398,False,True,False,False
399,True,True,False,False
400,True,True,False,False
401,False,False,False,False
403,True,True,False,False
406,False,False,False,False
407,False,False,False,False
408,False,True,False,False
409,True,True,False,False
410,False,True,False,False
411,False,True,False,False
412,True,True,False,False
413,False,False,False,False
414,False,False,False,False
415,False,False,False,False
417,False,False,False,False
418,False,False,False,False
419,False,False,False,False
420,False,False,False,False
421,False,True,False,False
422,False,True,False,False
423,True,True,False,False
424,False,False,False,False
425,True,True,False,False
427,False,False,False,False
428,True,True,False,False
430,False,True,False,False
431,False,False,False,False
432,False,True,False,False
434,False,False,False,False
435,False,False,False,False
438,False,True,False,False
439,False,True,False,False
440,False,True,False,False
443,False,False,False,False
445,False,False,False,False
446,False,False,False,False
448,False,False,False,False
452,False,False,False,False
453,False,True,False,False
454,True,True,False,False
455,False,True,False,False
456,False,True,False,False
457,False,True,False,False
458,False,True,False,False
459,False,True,False,False
460,True,False,False,False
461,False,True,False,False
462,False,True,False,False
464,False,False,False,False
465,False,False,False,False
466,False,False,False,False
467,False,True,False,False
468,False,False,False,False
469,False,True,False,False
470,False,True,False,False
471,False,True,False,False
472,True,True,False,False
474,False,True,False,False
475,True,True,False,False
476,True,True,False,False
477,False,True,False,False
478,False,False,False,False
479,False,True,False,False
480,False,True,False,False
482,False,False,False,False
483,False,True,False,False
484,False,True,False,False
485,True,True,False,False
486,False,False,False,False
487,False,True,False,False
488,False,False,False,False
489,False,False,False,False
490,False,False,False,False
492,False,True,False,False
493,False,True,False,False
494,True,True,False,False
495,False,True,False,False
496,True,True,False,False
499,True,True,False,False
500,True,True,False,False
501,True,True,False,False
502,False,False,False,False
503,False,True,False,False
504,False,False,False,False
505,False,False,False,False
508,True,True,False,False
509,False,True,False,False
510,True,True,False,False
512,False,False,False,False
513,False,False,False,False
514,True,True,False,False
516,False,False,False,False
517,False,True,False,False
518,False,False,False,False
519,False,True,False,False
522,False,False,False,False
523,False,False,False,False
524,False,False,False,False
526,False,False,False,False
527,True,False,False,False
529,False,False,False,False
530,True,True,False,False
532,True,False,False,False
533,False,False,False,False
534,True,True,False,False
535,False,True,False,False
536,True,False,False,False
537,False,False,False,False
538,True,True,False,False
539,False,True,False,False
544,True,True,False,False
545,False,False,False,False
546,False,False,False,False
547,False,True,False,False
548,False,True,False,False
549,False,False,False,False
550,True,True,False,False
551,True,True,False,False
552,True,True,False,False
553,True,False,False,False
554,True,True,False,False
555,False,False,False,False
556,False,False,False,False
557,False,False,False,False
558,False,True,False,False
559,False,False,False,False
560,False,False,False,False
561,False,False,False,False
562,True,True,False,False
563,False,True,False,False
564,False,False,False,False
565,False,True,False,False
566,False,True,False,False
569,False,True,False,False
571,False,False,False,False
573,False,False,False,False
574,True,True,False,False
577,False,True,False,False
579,False,False,False,False
580,False,True,False,False
581,False,True,False,False
582,False,False,False,False
583,True,False,False,False
584,True,True,False,False
586,True,False,False,False
587,False,False,False,False
588,False,False,False,False
589,False,False,False,False
590,False,False,False,False
593,False,False,False,False
594,True,False,False,False
595,False,False,False,False
597,False,False,False,False
598,False,False,False,False
599,False,False,False,False
601,False,False,False,False
602,False,True,False,False
603,False,True,False,False
604,True,True,False,False
609,False,True,False,False
610,False,True,False,False
615,False,False,False,False
617,False,False,False,False
619,False,True,False,False
625,False,False,False,False
628,False,True,False,False
629,False,True,False,False
632,False,False,False,False
634,False,False,False,False
636,False,False,False,False
637,False,True,False,False
639,False,False,False,False
641,True,True,False,False
643,False,False,False,False
645,False,False,False,False
649,False,False,False,False
650,False,False,False,False
652,False,True,False,False
656,True,False,False,False
659,False,True,False,False
661,False,False,False,False
663,False,True,False,False
667,True,True,False,False
668,False,True,False,False
669,False,False,False,False
670,False,False,False,False
672,False,False,False,False
674,True,True,False,False
684,False,False,False,False
686,False,False,False,False
687,False,True,False,False
692,False,True,False,False
693,False,False,False,False
694,False,True,False,False
696,False,False,False,False
697,False,True,False,False
698,False,False,False,False
704,False,False,False,False
705,False,False,False,False
707,False,False,False,False
708,False,False,False,False
709,False,False,False,False
710,False,False,False,False
711,False,False,False,False
712,False,False,False,False
713,False,False,False,False
714,False,True,False,False
715,False,False,False,False
716,False,True,False,False
718,False,False,False,False
719,False,False,False,False
720,False,False,False,False
721,False,True,False,False
722,False,False,False,False
723,True,True,False,False
724,False,False,False,False
726,False,False,False,False
727,False,False,False,False
728,False,False,False,False
729,False,False,False,False
730,False,True,False,False
731,True,False,False,False
732,False,False,False,False
733,False,False,False,False
734,False,False,False,False
735,False,False,False,False
736,False,False,False,False
737,False,False,False,False
738,False,False,False,False
739,False,True,False,False
741,False,True,False,False
742,False,False,False,False
743,False,True,False,False
744,False,True,False,False
747,False,True,False,False
748,False,False,False,False
749,False,False,False,False
752,False,False,False,False
755,True,True,False,False
756,False,False,False,False
758,False,False,False,False
759,False,False,False,False
760,False,True,False,False
761,False,False,False,False
763,False,False,False,False
764,False,True,False,False
765,False,True,False,False
766,False,False,False,False
769,False,True,False,False
770,False,False,False,False
771,False,False,False,False
773,False,False,False,False
774,True,False,False,False
777,False,False,False,False
779,False,False,False,False
780,False,False,False,False
781,False,False,False,False
783,True,True,False,False
784,False,True,False,False
785,False,False,False,False
786,True,False,False,False
788,False,True,False,False
790,False,False,False,False
792,False,True,False,False
793,False,False,False,False
794,False,False,False,False
798,False,False,False,False
801,False,True,False,False
802,False,False,False,False
804,False,False,False,False
806,False,True,False,False
807,False,False,False,False
808,False,False,False,False
809,False,False,False,False
811,False,True,False,False
812,False,False,False,False
817,False,False,False,False
818,False,False,False,False
819,False,False,False,False
824,False,False,False,False
826,False,False,False,False
832,False,True,False,False
833,False,False,False,False
834,False,False,False,False
835,True,False,False,False
836,False,True,False,False
838,False,True,False,False
839,False,True,False,False
840,False,False,False,False
842,True,True,False,False
843,False,False,False,False
844,False,False,False,False
845,False,False,False,False
846,False,True,False,False
847,False,False,False,False
849,False,False,False,False
851,False,False,False,False
854,False,False,False,False
858,False,False,False,False
862,False,False,False,False
863,False,False,False,False
867,False,True,False,False
868,False,True,False,False
872,True,True,False,False
874,False,True,False,False
877,False,False,False,False
878,False,True,False,False
882,False,False,False,False
883,False,False,False,False
884,False,False,False,False
886,False,False,False,False
887,False,False,False,False
888,True,False,False,False
889,True,True,False,False
892,True,True,False,False
893,True,True,False,False
895,False,False,False,False
897,False,False,False,False
900,False,True,False,False
901,False,True,False,False
904,True,True,False,False
906,False,False,False,False
908,False,True,False,False
909,True,False,False,False
910,False,False,False,False
911,False,False,False,False
913,False,True,False,False
914,True,True,False,False
915,False,True,False,False
916,True,True,False,False
917,False,False,False,False
918,False,True,False,False
921,True,False,False,False
922,True,False,False,False
923,False,False,False,False
935,False,False,False,False
939,False,True,False,False
940,False,False,False,False
941,False,False,False,False
944,False,True,False,False
946,False,True,False,False
948,False,True,False,False
949,False,True,False,False
952,False,False,False,False
953,False,False,False,False
954,False,False,False,False
955,False,False,False,False
961,False,False,False,False
969,True,True,False,False
970,False,False,False,False
971,False,False,False,False
972,False,False,False,False
973,False,True,False,False
976,True,False,False,False
980,False,False,False,False
981,False,True,False,False
987,False,False,False,False
989,False,False,False,False
996,False,False,False,False
997,False,True,False,False
1000,False,False,False,False
1002,False,False,False,False
1010,False,True,False,False
1011,True,True,False,False
1018,False,False,False,False
1020,False,False,False,False
1023,False,False,False,False
1025,False,True,False,False
1028,False,False,False,False
1046,False,False,False,False
1057,False,True,False,False
1063,False,False,False,False
1064,False,False,False,False
1065,False,True,False,False
1072,False,True,False,False
1073,False,False,False,False
1079,False,False,False,False
1080,False,True,False,False
1082,True,True,True,False
1085,False,True,False,False
1086,True,True,False,False
1087,False,True,False,False
1088,False,False,False,False
1089,True,True,False,False
1093,False,True,False,False
1095,False,False,False,False
1100,False,False,False,False
1102,True,True,False,False
1103,False,False,False,False
1104,False,False,False,False
1106,False,False,False,False
1107,False,False,False,False
1112,False,True,False,False
1113,False,False,False,False
1115,False,True,False,False
1116,False,False,False,False
1117,False,False,False,False
1120,False,False,False,False
1121,False,False,False,False
1122,False,False,False,False
1123,True,True,False,False
1124,False,True,False,False
1127,True,True,False,False
1128,False,False,False,False
1129,True,True,True,False
1134,False,False,False,False
1137,True,True,False,False
1140,False,True,False,False
1143,False,True,False,False
1144,False,False,False,False
1145,False,False,False,False
1154,False,False,False,False
1160,False,False,False,False
1162,False,False,False,False
1167,False,False,False,False
1168,False,False,False,False
1169,True,True,False,False
1170,False,False,False,False
1171,False,False,False,False
1172,False,False,False,False
1174,False,False,False,False
1176,False,False,False,False
1177,False,False,False,False
1178,False,True,False,False
1181,False,False,False,False
1186,False,True,False,False
1187,False,False,False,False
1189,True,True,False,False
1193,True,True,False,False
1194,False,False,False,False
1196,False,False,False,False
1197,False,False,False,False
1201,False,False,False,False
1202,False,False,False,False
1204,False,False,False,False
1205,False,False,False,False
1208,True,True,False,False
1214,False,False,False,False
1217,True,False,False,False
1218,False,False,False,False
1219,False,True,False,False
1220,True,True,False,False
1221,False,False,False,False
1222,False,False,False,False
1223,False,False,False,False
1224,False,False,False,False
1225,False,False,False,False
1226,True,True,False,False
1227,True,True,False,False
1228,False,False,False,False
1229,False,False,False,False
1230,False,False,False,False
1231,True,True,False,False
1233,False,False,False,False
1234,False,False,False,False
1235,False,True,False,False
1236,False,False,False,False
1238,False,True,False,False
1243,False,False,False,False
1244,True,True,False,False
1245,True,True,False,False
1246,False,False,False,False
1247,True,True,False,False
1248,True,True,False,False
1249,False,True,False,False
1250,False,True,False,False
1251,False,False,False,False
1252,False,True,False,False
1254,False,True,False,False
1256,False,True,False,False
1257,True,True,False,False
1259,False,True,False,False
1260,True,True,False,False
1262,False,False,False,False
1263,False,False,False,False
1264,False,True,False,False
1267,False,True,False,False
1268,False,True,False,False
1269,False,False,False,False
1270,False,False,False,False
1271,True,True,False,False
1272,False,False,False,False
1273,False,False,False,False
1274,False,True,False,False
1275,False,False,False,False
1276,True,True,False,False
1279,False,False,False,False
1280,True,True,False,False
1282,False,False,False,False
1283,False,True,False,False
1285,False,False,False,False
1286,False,False,False,False
1287,False,False,False,False
1288,False,False,False,False
1289,False,False,False,False
1290,False,False,False,False
1291,False,False,False,False
1292,False,False,False,False
1293,False,False,False,False
1295,False,False,False,False
1297,False,False,False,False
1298,False,False,False,False
1299,False,False,False,False
1307,False,False,False,False
1308,True,True,False,False
1310,False,False,False,False
1312,True,False,False,False
1313,False,True,False,False
1315,False,False,False,False
1316,False,False,False,False
1317,False,False,False,False
1320,False,False,False,False
1321,False,False,False,False
1322,False,False,False,False
1323,False,False,False,False
1324,False,False,False,False
1326,False,False,False,False
1330,True,True,False,False
1332,False,True,False,False
1341,False,True,False,False
1345,False,False,False,False
1347,False,False,False,False
1348,False,True,False,False
1353,False,False,False,False
1355,False,False,False,False
1357,False,True,False,False
1364,False,True,False,False
1383,False,False,False,False
1388,True,True,False,False
1391,False,False,False,False
1393,False,True,False,False
1394,False,False,False,False
1448,False,False,False,False
1449,False,True,False,False
1450,False,True,False,False
1456,False,True,False,False
1457,False,True,False,False
1465,False,True,False,False
1469,False,False,False,False
1472,False,True,False,False
1473,False,False,False,False
1474,False,True,False,False
1475,False,False,False,False
1478,False,True,False,False
1479,False,False,False,False
1480,False,False,False,False
1481,False,True,False,False
1485,False,False,False,False
1487,False,True,False,False
1488,False,False,False,False
1489,False,False,False,False
1491,False,False,False,False
1492,False,False,False,False
1493,False,False,False,False
1495,True,False,False,False
1497,True,True,False,False
1498,False,True,False,False
1499,False,False,False,False
1500,False,True,False,False
1501,False,False,False,False
1503,False,False,False,False
1505,False,True,False,False
1506,True,True,False,False
1507,False,False,False,False
1508,False,True,False,False
1510,False,False,False,False
1519,False,False,False,False
1526,True,True,False,False
1527,False,False,False,False
1529,False,True,False,False
1532,False,False,False,False
1541,False,False,False,False
1548,False,False,False,False
1553,False,False,False,False
1555,True,True,False,False
1559,False,True,False,False
1563,True,False,False,False
1564,False,False,False,False
1565,False,False,False,False
1566,False,True,False,False
1569,False,True,False,False
1570,False,True,False,False
1571,False,True,False,False
1575,True,True,False,False
1578,True,False,False,False
1580,False,False,False,False
1590,False,True,True,False
1591,False,False,False,False
1595,True,True,False,False
1596,True,True,False,False
1598,False,True,False,False
1600,True,True,False,False
1601,True,True,False,False
1602,True,True,False,False
1603,False,False,False,False
1604,False,True,False,False
1606,False,False,False,False
1607,False,True,False,False
1614,False,False,False,False
1617,False,True,False,False
1618,False,True,False,False
1619,False,True,False,False
1621,False,True,False,False
1623,False,False,False,False
1624,False,False,False,False
1625,False,True,False,False
1626,False,False,False,False
1627,False,False,False,False
1629,False,False,False,False
1630,False,False,False,False
1631,False,False,False,False
1633,True,True,False,False
1634,False,False,False,False
1648,False,True,False,False
1649,False,False,False,False
1650,False,True,False,False
1654,False,True,False,False
1655,False,False,False,False
1658,False,True,False,False
1659,False,False,False,False
1662,False,False,False,False
1663,False,True,False,False
1665,False,True,False,False
1668,False,False,False,False
1669,False,True,False,False
1674,False,False,False,False
1687,False,False,False,False
1705,False,False,False,False
1708,False,True,False,False
1713,False,False,False,False
1714,False,True,False,False
1715,False,False,False,False
1716,False,True,False,False
1718,False,True,False,False
1720,False,True,False,False
1723,False,False,False,False
1731,False,False,False,False
1737,False,False,False,False
1758,False,False,False,False
1759,False,False,False,False
1760,False,False,False,False
1765,False,False,False,False
1781,True,False,False,False
1782,False,True,False,False
1783,False,True,False,False
1784,False,True,False,False
1785,False,True,False,False
1786,False,False,False,False
1789,False,True,False,False
1793,False,False,False,False
1794,False,False,False,False
1799,False,True,False,False
1817,True,False,False,False
1819,False,False,False,False
1821,False,False,False,False
1828,False,True,False,False
1829,False,False,False,False
1834,False,False,False,False
1835,True,False,False,False
1845,False,False,False,False
1848,False,False,False,False
1849,False,False,False,False
1851,False,True,False,False
1852,False,True,False,False
1855,False,False,False,False
1858,False,False,False,False
1863,False,True,False,False
1868,False,False,False,False
1870,False,False,False,False
1874,True,True,False,False
1875,True,False,True,False
1876,False,False,False,False
1877,False,True,False,False
1878,False,False,False,False
1879,False,False,False,False
1880,False,False,False,False
1881,False,False,False,False
1883,False,False,False,False
1885,False,True,False,False
1888,False,False,False,False
1896,False,False,False,False
1901,False,True,False,False
1908,False,False,False,False
1915,False,False,False,False
1936,False,True,False,False
1939,False,False,False,False
1944,False,False,False,False
1956,False,False,False,False
1957,False,False,False,False
1958,False,False,False,False
1959,False,False,False,False
1960,False,True,False,False
1963,False,True,False,False
1967,False,True,False,False
1970,False,True,False,False
1971,False,False,False,False
1980,False,False,False,False
1982,True,True,False,False
1987,False,False,False,False
1991,False,False,False,False
1995,False,True,False,False
1996,True,True,False,False
1999,False,False,False,False
2000,False,False,False,False
2004,False,False,False,False
2008,False,False,False,False
2013,False,False,False,False
2020,False,True,False,False
2022,False,False,False,False
2024,False,False,False,False
2026,False,False,False,False
2030,True,True,False,False
2033,False,False,False,False
2034,True,True,False,False
2036,True,True,False,False
2037,False,False,False,False
2038,False,False,False,False
2039,False,False,False,False
2042,False,False,False,False
2043,False,True,False,False
2045,False,False,False,False
2048,False,False,False,False
2052,True,True,False,False
2055,False,True,False,False
2062,False,True,False,False
2065,True,True,False,False
2067,True,True,False,False
2072,False,True,False,False
2077,False,True,False,False
2080,False,False,False,False
2082,False,True,False,False
2086,False,False,False,False
2087,True,False,True,False
2088,False,False,False,False
2089,False,False,False,False
2090,False,False,False,False
2091,False,False,False,False
2092,False,False,False,False
2094,False,False,False,False
2095,False,False,False,False
2097,False,False,False,False
2100,False,False,False,False
2101,True,True,False,False
2102,False,False,False,False
2103,False,False,False,False
2104,False,False,False,False
2105,False,False,False,False
2107,False,False,False,False
2109,False,False,False,False
2110,False,False,False,False
2111,False,False,False,False
2112,False,False,False,False
2113,False,False,False,False
2115,False,False,False,False
2118,False,False,False,False
2124,False,False,False,False
2126,False,True,False,False
